Restoran_name,name,rating,review
Hong Kong Restaurant,Patrick Christopher Panggabean,4.0,"Best mee hokkien ive tasted in mks, a bit pricy but definitely worth it. Crispy pig belly with sambal matah is too dry for my taste."
Hong Kong Restaurant,Elisabeth,4.0,This is a very delicious chinnese food...But You have to booked and order first in order to get the food fastest
Hong Kong Restaurant,nisa putri,5.0,"Love the food and place, but sometimes hard to looking parking lot for."
Hong Kong Restaurant,aryanto sultanry,3.0,"This is not a halal restaurant. It serves chinese food. The taste is good, the cleanliness is good, but the waiter is a bit confused with the orders. Hopefully feedback, training or replacement can solve this."
Hong Kong Restaurant,Inggrid Lee,5.0,Very delicious food. This place has been there for years and very well known about the chinese food taste. Very variable menus 👍🏻 Suitable for family lunch or dinner. Less parking lot
Hong Kong Restaurant,Faddy Kue,1.0,"The black pepper beef was unbelievable, it didn't taste like black pepper and the meat were severely over cooked. Ordered Ee Fu noodle but regular egg noodle was served. HongKong fried rice is actually regular Makassar style red fried rice, besides adding Chinese sausages, there ain't anything HongKong about it. Salted egg french beans - didn't taste any salted eggs. Fried fish fillet - barely edible because it smells a little bad, probably not fresh at all! Price is way too expensive for such quality. There are way better food elsewhere!"
Hong Kong Restaurant,Robert Lee Veda,3.0,"The place n the taste are good, but the pricing is a little bit expensive. The less thing is the park space for the cars. Hard to find parking space if driving a car"
Hong Kong Restaurant,PETER GOZAL,5.0,This is the best chinese rest in town. Should try the “babihong” and “babi tore” very delicious
Hong Kong Restaurant,Arun Rewa,4.0,ok
Hong Kong Restaurant,Jane Angran,4.0,Tried their vegetarian menu here. I like their vege fried rice. It's not too spicy and not too oily.
Hong Kong Restaurant,William Trisina,5.0,very suitable for family gathering especially if you looking for non halal food
Hong Kong Restaurant,Ronald Losari,5.0,Very recomended chinese food resto in makassar. Must Try.
Hong Kong Restaurant,Andry Sp,5.0,"Delicious Chines Food @ makassar , must try"
Hong Kong Restaurant,Sisilia Ika,5.0,"This restorant favorite foods... because the taste it's very delicious, fresh, and the room it's very clean😋😋😋😋😋"
Hong Kong Restaurant,Agnes Gosali,3.0,Expensive but the food isn't very good. 3 stars because i wasn't the one who payed
Hong Kong Restaurant,Teddy Han,5.0,The best chinese food in MAKASSAR.
Hong Kong Restaurant,Inez Koe,3.0,The food is inconsistent. It was really good one time and it was really bad the next time.
Hong Kong Restaurant,corry michelle,5.0,"had family dinner here, food taste was tasty but phone signal was very very bad, got no line."
Hong Kong Restaurant,Harmesh Nanwani,5.0,"Good food, clean place"
